"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 29 23:27:25 GMT 2022","Sat Jan 29 23:27:26 GMT 2022","661","Suite","Test","mypackage.myTest1","mypackage.myTest1","opengoogle","open google and get tile in 2","Test Case 1"
"passed","Sat Jan 29 23:27:25 GMT 2022","Sat Jan 29 23:27:26 GMT 2022","684","Suite","Test","mypackage.myTest","mypackage.myTest","opengoogle","open google and get tile","Test Case 1"
