"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 31 17:56:21 GMT 2022","Mon Jan 31 17:56:22 GMT 2022","1156","Suite","Test","mypackage.myTest","mypackage.myTest","opengoogle","open google and get tile","Test Case 1"
"passed","Mon Jan 31 17:56:21 GMT 2022","Mon Jan 31 17:56:22 GMT 2022","1076","Suite","Test","mypackage.myTest1","mypackage.myTest1","opengoogle","open google and get tile in 2","Test Case 1"
